,Unnamed: 0,Distance,Mass,Radius
173,77,55.0,0.048683988000000004,0.10070773999999999
174,78,60.0,0.025773876,0.14489582999999998
175,79,53.0,0.046774812,0.09968010999999999
176,80,34.4,0.040092696000000004,0.09659721999999998
177,81,13.15,0.073503276,0.10995641
178,82,6.516,0.041047284,0.10481826
179,83,6.516,0.03818352,0.10379063
180,84,49.0,0.061093632,0.102763
181,85,180.0,0.034365168,0.24560357
182,86,163.0,0.007636704,0.18497339999999998
183,87,63.0,0.008591292,0.12742612
184,88,18.2,0.031501404000000004,0.09865247999999999
185,89,137.0,0.028637640000000002,0.2260786
186,90,129.0,0.035319756,0.1541445
187,91,31.0,0.061093632,0.102763
188,92,217.0,0.016227996,0.17572473
189,93,36.0,0.040092696000000004,0.09659721999999998
190,94,45.6,0.039138108,0.09659721999999998
191,95,262.0,0.001909176,2.5690749999999998
192,96,38.0,0.044865636,0.10070773999999999
193,97,61.0,0.060139044,0.10070773999999999
194,98,61.0,0.055366104,0.10070773999999999
195,99,101.0,0.063957396,0.10379063
196,100,65.0,0.048683988000000004,0.09968010999999999
197,101,48.0,0.042001872,0.09659721999999998
198,102,51.0,0.060139044,0.102763
199,103,29.7,0.030546816,0.09865247999999999
200,104,149.0,0.056320692,0.10173536999999999
201,105,38.0,0.020046348000000002,0.13564716
202,106,38.5,0.072548688,0.10892878
203,107,47.0,0.068730336,0.10584589
204,108,72.0,0.087822096,0.12228796999999998
205,109,47.0,0.056320692,0.10173536999999999
206,110,104.0,0.0105959268,0.1541445
207,111,104.0,0.008591292,0.13359189999999999
208,112,35.1,0.07159410000000001,0.10790115
209,113,20.7,0.042001872,0.09659721999999998
210,114,71.0,0.042001872,0.09659721999999998
211,115,46.0,0.065866572,0.10481826
212,116,23.9,0.057275280000000005,0.10173536999999999
213,117,53.0,0.075412452,0.11098404
214,118,34.0,0.054411516,0.10173536999999999
215,119,67.0,0.051547752,0.10070773999999999
216,120,51.0,0.060139044,0.102763
217,121,37.0,0.042001872,0.09659721999999998
218,122,68.0,0.028637640000000002,0.14695108999999998
219,123,44.0,0.067775748,0.10584589
220,124,48.0,0.040092696000000004,0.09659721999999998
221,125,36.0,0.041047284,0.09659721999999998
222,126,110.0,0.067775748,0.10584589
223,127,50.0,0.046774812,0.09968010999999999
224,128,28.0,0.039138108,0.09659721999999998
225,129,60.0,0.069684924,0.10687352
226,130,114.0,0.022910112,0.14386819999999997
227,131,90.0,0.044865636,0.09968010999999999
228,132,39.0,0.04295646,0.09762484999999999
229,133,18.5,0.073503276,0.10995641
230,134,138.0,0.063957396,0.10379063
231,135,46.0,0.091640448,0.12537086
232,136,105.0,0.0238647,0.19319443999999997
233,137,65.0,0.043911048,0.09865247999999999
234,138,47.0,0.06682116,0.10481826
235,139,62.0,0.065866572,0.10481826
236,140,80.0,0.0062048220000000005,0.15722739
237,141,113.0,0.089731272,0.12434322999999999
238,142,32.1,0.043911048,0.09865247999999999
239,143,26.3,0.05250234,0.10173536999999999
240,144,93.0,0.021000936,0.13667479
241,145,154.0,0.025773876,0.14489582999999998
242,146,38.0,0.058229868000000004,0.10173536999999999
243,147,35.0,0.040092696000000004,0.09659721999999998
244,148,64.0,0.069684924,0.10687352
245,149,56.0,0.011455056,0.13256426999999998
246,150,56.0,0.022910112,0.14284056999999997
247,151,148.0,0.016227996,0.16339317
248,152,67.0,0.084003744,0.11920507999999998
249,153,74.0,0.07636704,0.11201167000000001
250,154,20.0,0.005727528,0.12023270999999998
251,155,35.9,0.014318820000000001,0.4316046
252,156,35.9,0.00954588,0.39049939999999994
253,157,25.3,0.028637640000000002,0.08837618
